stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
114904,52246,Notre-Dame / Atwater,45.481035,-73.5782,http://m.stm.info/fr/horaires/arrets/52246/bus,0,,1
114913,52247,Christophe-Colomb / Marie-Anne,45.526972,-73.577032,http://m.stm.info/fr/horaires/arrets/52247/bus,0,,1
114924,52248,Masson / 2e Avenue,45.545727,-73.576232,http://m.stm.info/fr/horaires/arrets/52248/bus,0,,1
114944,52249,Rosemont / Bourbonnière,45.558343,-73.575803,http://m.stm.info/fr/horaires/arrets/52249/bus,0,,1
114973,52250,du Parc / Léo-Pariseau,45.511157,-73.577452,http://m.stm.info/fr/horaires/arrets/52250/bus,0,,1
114991,52253,de l'Assomption / Bélanger,45.57883,-73.575145,http://m.stm.info/fr/horaires/arrets/52253/bus,0,,1
114992,52254,Bélanger / de l'Assomption,45.57897,-73.575332,http://m.stm.info/fr/horaires/arrets/52254/bus,0,,1
114993,52255,de l'Assomption / Bélanger,45.578799,-73.575508,http://m.stm.info/fr/horaires/arrets/52255/bus,0,,1
114994,52256,Bélanger / de l'Assomption,45.57867,-73.575305,http://m.stm.info/fr/horaires/arrets/52256/bus,0,,1
115014,52257,Saint-Joseph / Parthenais,45.538452,-73.576249,http://m.stm.info/fr/horaires/arrets/52257/bus,0,,1
115017,52258,Saint-Joseph / Parthenais,45.538419,-73.576617,http://m.stm.info/fr/horaires/arrets/52258/bus,0,,1
